"node1","node2"
"A2M","PLAT"
"A2M","IL4"
"A2M","PROC"
"A2M","CRP"
"A2M","ORM1"
"A2M","MMP13"
"A2M","C6"
"A2M","LRP2"
"A2M","CP"
"A2M","HPX"
"A2M","LRG1"
"A2M","C7"
"A2M","MMP1"
"A2M","SLPI"
"A2M","PSEN2"
"A2M","KRT222"
"A2M","ITIH2"
"A2M","ADIPOQ"
"A2M","PIGR"
"A2M","TMPRSS6"
"A2M","ADAMTS12"
"A2M","SERPINA5"
"A2M","F3"
"A2M","FGG"
"A2M","F7"
"A2M","TF"
"A2ML1","LRP1B"
"A2ML1","DSC3"
"A2ML1","COL17A1"
"A2ML1","KLK6"
"ABCA12","CYP4F22"
"ABCA12","KLK5"
"ABCA12","ABCC8"
"ABCA12","PGLYRP3"
"ABCA12","CASP14"
"ABCA12","FLG"
"ABCA12","IVL"
"ABCA12","ID1"
"ABCC8","CHGA"
"ABCC8","KCNJ2"
"ABCC8","KCNJ3"
"ABCC8","NEUROD1"
"ABCC8","SLC30A10"
"ABCC8","CHGB"
"ABCC8","KCNJ16"
"ABCC8","KCNJ1"
"ACADL","PYGL"
"ACADL","PLIN4"
"ACADL","UCP1"
"ACADL","FABP4"
"ACADL","COX6C"
"ACADL","HGD"
"ACADL","HMGCS2"
"ACADL","PCK1"
"ACADL","ACOX1"
"ACOX1","FABP4"
"ACOX1","UCP1"
"ACOX1","PLIN1"
"ACOX1","CIDEA"
"ACOX1","ADIPOQ"
"ACOX1","HMGCS2"
"ACOX1","PCK1"
"ACTL8","ROPN1"
"ACTL8","MAGEA1"
"ACTL8","HORMAD1"
"ADAM32","TINAG"
"ADAM32","SPAG17"
"ADAMTS12","THBS2"
"ADCY4","GUCY1B3"
"ADCY4","PRKCB"
"ADCY4","PDE1C"
"ADH1B","CYP26A1"
"ADH1B","GABRA6"
"ADH1B","GPD1"
"ADH1B","AKR1B10"
"ADH1B","DLEC1"
"ADH1B","MGST1"
"ADH1B","LDHC"
"ADH1B","GSTA4"
"ADH1B","GSTA1"
"ADH1B","ALDH1A3"
"ADH1B","CYP4X1"
"ADIPOQ","IL4"
"ADIPOQ","CRP"
"ADIPOQ","FABP4"
"ADIPOQ","UCP1"
"ADIPOQ","IL21"
"ADIPOQ","SFRP5"
"ADIPOQ","CARTPT"
"ADIPOQ","PLIN1"
"ADIPOQ","PCK1"
"ADIPOQ","CIDEA"
"ADIPOQ","ITLN1"
"ADIPOQ","FAM132A"
"ADIPOQ","DLK1"
"ADIPOQ","PYY"
"ADIPOQ","PTGS2"
"ADIPOQ","LCN2"
"ADIPOQ","TMEM26"
"ADIPOQ","NPY"
"ADIPOQ","ZNF423"
"ADIPOQ","ESR1"
"ADIPOQ","AGTR1"
"AEBP1","TMEM74"
"AEBP1","WFDC2"
"AEBP1","THBS2"
"AGBL2","CRP"
"AGBL2","PTPN22"
"AGBL2","FLG"
"AGR2","CEACAM6"
"AGR2","SLC44A4"
"AGR2","FOXA1"
"AGR2","STC2"
"AGR2","TFF1"
"AGR2","AGR3"
"AGR2","KLK5"
"AGR2","WFDC2"
"AGR2","AREG"
"AGR2","MUC1"
"AGR2","ESR1"
"AGR2","MUC5B"
"AGR2","TFF3"
"AGR3","NPTX2"
"AGR3","TFF1"
"AGR3","ESR1"
"AGR3","PHGR1"
"AGR3","TFF3"
"AGTR1","SCTR"
"AGTR1","PLCG1"
"AGTR1","CRP"
"AGTR1","HTR2B"
"AGTR1","CYBA"
"AGTR1","PTGS2"
"AKR1B1","FAF2"
"AKR1B1","GALM"
"AKR1B1","GPD1"
"AKR1B1","PRKCB"
"AKR1B1","MT1A"
"AKR1B1","GSTA4"
"AKR1B1","GLRX"
"AKR1B1","FABP7"
"AKR1B1","AKR7A3"
"AKR1B1","PTGS2"
"AKR1B1","AKR1B10"
"AKR1B1","CBR1"
"AKR1B10","GALM"
"AKR1B10","CBR1"
"AKR1B10","SDR16C5"
"AKR1B10","ALDH1A3"
"AKR1B10","AKR7A3"
"ALDH1A3","CYP26A1"
"ALDH1A3","CRABP1"
"ALDH1A3","SDR16C5"
"ALDH1A3","PROM1"
"ALDOC","PYGL"
"ALDOC","PYGB"
"ALDOC","FABP4"
"ALDOC","PPP1R14A"
"ALDOC","GPD1"
"ALDOC","GYS2"
"ALDOC","GALM"
"ALDOC","LDHC"
"ALKBH1","NOP2"
"ALOX15B","CYP4F22"
"ALOX15B","PTGS2"
"ALOX15B","PLA2G4C"
"ALOX15B","CYP4F8"
"ALX1","CYP26A1"
"ANGPT1","EPO"
"ANGPT1","GRB14"
"ANGPT1","MMP1"
"ANGPT1","ERBB4"
"ANGPT1","THBS2"
"ANGPT1","KLF6"
"ANGPT1","PROM1"
"ANKRD53","ZNF154"
"AOAH","LY96"
"AOAH","NFAM1"
"AOAH","C1orf162"
"AOAH","MNDA"
"AOAH","MS4A6A"
"APBB1IP","PLCG1"
"APBB1IP","TRAT1"
"APBB1IP","FGG"
"APBB1IP","GRAP2"
"AQP5","KRT14"
"AQP5","KRT5"
"AQP5","CHRM3"
"AQP5","PIP"
"AQP5","VIP"
"AQP5","PLAG1"
"AQP5","HOPX"
"AQP5","KRT4"
"AQP5","FOXJ1"
"AR","KRT14"
"AR","HSD17B2"
"AR","CHGA"
"AR","CAV2"
"AR","FOXA1"
"AR","KRT5"
"AR","VHL"
"AR","WNT2"
"AR","HOXB13"
"AR","PIP"
"AR","LHCGR"
"AR","PSCA"
"AR","PELP1"
"AR","PRKCB"
"AR","PGR"
"AR","WT1"
"AR","PKN1"
"AR","ZNF521"
"AR","PTGS2"
"AR","VAV3"
"AR","PROM1"
"AR","POLR2B"
"AR","MSMB"
"AR","ESR1"
"AR","MUC1"
"AR","ETV1"
"AR","POU4F1"
"AREG","IL4"
"AREG","PLCG1"
"AREG","FOXA1"
"AREG","LHCGR"
"AREG","PGR"
"AREG","ERBB4"
"AREG","PTGS2"
"AREG","S100A2"
"AREG","FOLR1"
"AREG","ESR1"
"AREG","CDC42"
"ARFGAP3","SNCA"
"ARFGAP3","FOLR1"
"ATHL1","TUSC5"
"ATHL1","GALNT12"
"ATP10D","FCHSD1"
"ATP13A4","CNTNAP2"
"ATP6V0A4","ATP6V1G3"
"ATP6V0A4","ATP6V1G2"
"ATP6V0A4","FOXI1"
"ATP6V0A4","SLC13A2"
"ATP6V0A4","TF"
"ATP6V1G2","ATP6V1G3"
"ATP6V1G2","FAIM2"
"ATP6V1G2","TF"
"ATP6V1G3","TF"
"BAG2","TINAG"
"BAG2","PPP2R2C"
"BAG2","ELOVL2"
"BAG2","PRAME"
"BAG2","GRPR"
"BAG2","MT1A"
"BBOX1","TRIM29"
"BBOX1","TRIM71"
"BBOX1","TRAT1"
"BHLHE40","TBX21"
"BHLHE40","CAPN6"
"BHLHE40","VGLL1"
"BMPR1B","SOSTDC1"
"BMPR1B","ID1"
"BMPR1B","SLITRK6"
"BMPR1B","TF"
"BOLL","GFRA1"
"BOLL","SYCP1"
"BOLL","CDC20B"
"BTN1A1","CIDEA"
"C10orf82","TMEFF1"
"C14orf177","CLEC3A"
"C15orf26","PRDM8"
"C17orf104","HORMAD1"
"C17orf104","MEI1"
"C19orf33","PPP1R14A"
"C19orf33","TMEM71"
"C1orf111","SPATA16"
"C1orf111","SPATA3"
"C1orf162","MS4A6A"
"C2CD4A","ZBED3"
"C2CD4A","HHEX"
"C2CD4A","DGKB"
"C5orf49","SPAG17"
"C6","OLFM4"
"C6","ORM1"
"C6","LRG1"
"C6","HAAO"
"C6","TAT"
"C6","HGD"
"C6","F7"
"C6","TMPRSS6"
"C6","FETUB"
"C6","FGG"
"C6","C7"
"C7","PIP"
"C7","ITIH2"
"C7","HBA1"
"C7","CD5L"
"C7","PI16"
"CA9","CEACAM5"
"CA9","EPO"
"CA9","VHL"
"CA9","PGR"
"CA9","PTGS2"
"CA9","HIF3A"
"CA9","ESR1"
"CA9","MUC1"
"CA9","MSLN"
"CACNA1A","PVALB"
"CACNA1A","CAV2"
"CACNA1A","SYT1"
"CACNA1A","RASGRF2"
"CACNA1A","GABRA6"
"CACNA1A","GRIA4"
"CACNA1A","KCNJ3"
"CACNA1A","NEUROD1"
"CACNA1A","GRIA2"
"CACNA1A","PRKCB"
"CACNA1A","SCN11A"
"CACNA1A","GABRB3"
"CACNA1A","STAC2"
"CACNA1A","GRIK3"
"CACNA1A","KCNC2"
"CACNA1A","SYN2"
"CAPN6","PPM1E"
"CAPN6","THBS2"
"CAPN6","NLRP2"
"CAPN6","VGLL1"
"CAPSL","NKAIN1"
"CARTPT","CEACAM6"
"CARTPT","CHGA"
"CARTPT","OXT"
"CARTPT","PCSK1N"
"CARTPT","UCP1"
"CARTPT","CBLN2"
"CARTPT","CCL28"
"CARTPT","NPY1R"
"CARTPT","CHGB"
"CARTPT","VIP"
"CARTPT","NKAIN1"
"CARTPT","TAC1"
"CARTPT","PYY"
"CARTPT","TRH"
"CARTPT","NPY"
"CASP14","PI3"
"CASP14","CYP4F22"
"CASP14","SOSTDC1"
"CASP14","KLK5"
"CASP14","S100A7"
"CASP14","LELP1"
"CASP14","IVL"
"CASP14","FLG"
"CASP14","HRNR"
"CASP14","SPRR2A"
"CASP14","LCE6A"
"CASP14","TCHH"
"CASP9","TNFRSF10D"
"CASP9","FGG"
"CASP9","TNFRSF10C"
"CASP9","ESR1"
"CASP9","PTGS2"
"CASP9","ERN1"
"CAV2","PRKCB"
"CAV2","SIX6"
"CAV2","ESR1"
"CBLN1","PVALB"
"CBLN1","CHGA"
"CBLN1","GRIA4"
"CBLN1","ZIC1"
"CBLN1","PLTP"
"CBLN1","GABRA6"
"CBLN1","CDH10"
"CBLN1","GRIA2"
"CBLN1","CDH8"
"CBLN2","IGDCC3"
"CBLN2","NPY"
"CBLN2","CHGB"
"CBR1","FAM3B"
"CBR1","PPP4R4"
"CBR1","SDR16C5"
"CBR1","ESR1"
"CCDC65","CCNO"
"CCDC65","WDR63"
"CCDC65","SPAG6"
"CCDC65","ELAVL4"
"CCDC65","RSPH9"
"CCDC67","CCNO"
"CCDC67","FOXJ1"
"CCDC67","CDC20B"
"CCL28","PYY"
"CCL28","NPY"
"CCNO","RHCG"
"CCNO","FOXJ1"
"CCNO","RSPH9"
"CCNO","CDC20B"
"CD177","OLFM4"
"CD177","LTF"
"CD177","S100A8"
"CD177","CNTN6"
"CD1A","CD69"
"CD1A","IL4"
"CD1A","LY75"
"CD1A","IL7"
"CD1A","LAMP3"
"CD1A","S100A9"
"CD1A","CD1E"
"CD1A","CR2"
"CD1A","CD1C"
"CD1C","TBX21"
"CD1C","CD69"
"CD1C","IL4"
"CD1C","SELL"
"CD1C","LY75"
"CD1C","IL7"
"CD1C","LAMP3"
"CD1C","SLAMF1"
"CD1C","TLR1"
"CD1C","PSEN2"
"CD1C","CR2"
"CD1C","CD1E"
"CD1C","S100A9"
"CD1C","IDO1"
"CD1C","CD48"
"CD1E","CD69"
"CD1E","IL4"
"CD1E","LY75"
"CD1E","IL7"
"CD1E","LAMP3"
"CD1E","FCRL2"
"CD1E","CR2"
"CD200","IL4"
"CD200","KRT15"
"CD48","TBX21"
"CD48","CD69"
"CD48","SELL"
"CD48","SRGN"
"CD48","GPR65"
"CD48","SLAMF1"
"CD48","CD84"
"CD48","CR2"
"CD48","SLAMF7"
"CD48","SLAMF6"
"CD48","MNDA"
"CD48","TIGIT"
"CD5L","FCRL2"
"CD69","TBX21"
"CD69","TNFSF4"
"CD69","TLR1"
"CD69","LY75"
"CD69","CXCL13"
"CD69","GRAP2"
"CD69","PLCG1"
"CD69","UCHL1"
"CD69","PTPN22"
"CD69","TNFSF13B"
"CD69","SERPINB5"
"CD69","SLAMF6"
"CD69","TIGIT"
"CD69","SLAMF1"
"CD69","ITGA2"
"CD69","IL7"
"CD69","CR2"
"CD69","IL4"
"CD69","SELL"
"CD84","KCNMB1"
"CD84","SLAMF1"
"CDC20B","PLK2"
"CDC20B","FOXJ1"
"CDC42","PLCG1"
"CDC42","RASGRF2"
"CDC42","PREX2"
