SNCA,APOA4,CHGA,STX1B,MME,MUC6,PM20D1,UCP1,MMP3,KRT20,SYN2,GPC5,HOXC8,APOA1,CXCL12,KRT5,KLK6,EPO,CD38,LTF,MUC5B,KCNQ2,ATP6V1G2,OLFM4,KIF5C,RET,GNAO1,CLDN18,FOXJ1,DNAH11,CA9,SOSTDC1,CDH17,COL2A1,DSCAML1,RIMS2,NPSR1,ACSL6,TLL1,TM4SF4,RBP2,GIF,KRT14,REG4,CLIP4,LIPF,MSLN,RRAGD,CR2,DZIP1,SLC9A3,SLC26A4,SLC15A1,SLC26A3,FGB,KRT16,PDLIM4,DMBT1,FGF8,NEUROD1,IRX2,GUCY1A2,RAB39B,HOXC10,CPNE8,APOB,TFF1,GC,GKN1,GALNT14,LRP12,DNM3,PRKCB,PGC,EHD3,KRT4,PI3,SLC34A2,HMGCS2,LOR,HS3ST3B1,DKK1,COL4A6,PHGR1,TFF2,AKR1B10,PIK3C2G,HYDIN,AS3MT,ISX,CD69,SLC6A19,NLRP2,CXCL5,PRKAA2,HABP2,IL12RB2,EPDR1,EDA,FAM92A1,ITGA9,C2orf40,IGF2BP1,SALL4,POPDC3,REG3A,CD40,SH3GL3,GIPC3,KCNQ3,CNTFR,MTTP,WFDC2,PCSK1N,SMO,GK,ATP6AP1,S100A7,LY6D,AGR2,MUC16,CHST10,TPD52L1,PSCA,PIGR,PRSS1,OXT,PTPN13,REG1A,SLC13A2,ORM1,GFM1,DNAH1,KRT6A,DUOX2,GUCY2C,CTSE,SRPX,MUC4,CYGB,AQP5,BMPER,NPS,ATP6V1G3,CDX1,NMS,REG1B,PLTP,KRT6B,VSIG1,KRT17,SLN,SOX7,RHCG,PPP1R14A,PPM1E,SLMO2,PCLO,MTMR8,QPCT,MAGED1,SCEL,MAP1B,KCNB2,KCNS2,KCNB1,ITLN1,THBS4,SMYD1,LHFP,HTR7,KLK10,SMARCA1,HLX,HMX3,GRASP,NOTUM,OPRD1,RPSAP58,FOXI3,FOLR1,FBLN1,OGFRL1,IL20RA,ZNF518B,FER1L6,LPAR6,DUSP27,DUOXA2,SDK1,NXPH3,FNBP1,DGKB,DCLK2,CXCL17,CPAMD8,MID2,ZNF114,CHST2,CHRDL1,CHP2,SLAMF6,NMNAT2,CD200,FIGN,GAMT,PLA2G7,NPC1L1,ALPPL2,A4GNT,subtype
7.8563,4.6003,3.4551,6.923,3.8369,8.7002,1.5088,0,5.9348,3.6795,6.555,1.5088,4.1977,4.7061,11.9914,2.5358,5.2998,0.4533,5.6782,10.3982,7.2337,0.7977,6.923,11.9305,7.7315,7.8881,11.4388,9.5394,3.5029,1.533,7.2737,6.9747,8.6835,0,5.2998,3.9096,0,4.413,8.9714,5.0813,0.7977,0,0.7977,9.7556,10.4483,0,7.3784,8.5675,8.2931,10.019,4.1808,4.6221,1.0755,2.1118,0,1.983,10.608,12.5248,0,0,2.9345,5.8357,5.0495,5.1874,8.8692,6.8919,8.5463,0.7977,7.7214,5.8169,8.6718,7.5186,11.4173,8.2743,8.9735,0,7.3328,3.6795,5.1874,0,2.6248,1.3084,10.4773,4.413,6.616,5.2306,1.0755,6.7004,7.6811,0.4533,8.099,3.4057,3.5491,5.5014,10.2557,4.9298,4.6856,7.724,7.1119,7.4225,10.0175,10.5657,0,0.7977,3.9446,3.5491,8.3611,1.3084,7.9583,3.7205,6.7556,5.4657,3.6795,10.1153,9.4667,6.9009,10.922,0,0,10.273,0.7977,7.87,7.2087,6.6641,10.1066,0.7977,1.8416,9.3734,6.8739,0.4533,0.4533,10.1225,7.9583,0,8.5305,6.5607,10.6124,10.0185,9.9916,10.307,7.3623,7.8331,0,0,7.1722,0,0,12.0137,4.9147,4.3621,6.8648,4.3878,10.0983,1.3084,10.612,4.9708,10.1382,5.7591,4.7661,8.1765,11.3317,0.4533,13.6373,1.983,1.5088,7.5977,4.3094,12.646,11.812,10.5466,4.2265,8.3804,10.4687,8.2218,1.8416,8.2448,2.5358,0.7977,12.2152,0,0.4533,13.5517,7.9583,5.6253,8.982,3.7205,8.9914,1.0755,5.3212,7.9942,9.8556,13.2122,5.5477,8.9217,3.4551,5.3266,10.9719,1.3084,7.065,9.8035,1.5088,7.6168,8.8099,8.4105,6.4554,7.2858,6.616,5.0655,3.5939,2.5358,1
6.3881,3.2006,11.6735,4.3402,13.1826,14.2597,0.8634,0.4954,9.4425,3.8599,6.3157,3.6871,5.3483,6.1341,9.4594,2.5646,0.4954,0,6.5979,14.1935,3.5424,1.7899,3.2635,9.6692,5.4052,6.3231,8.1015,13.3024,6.6576,0.5038,9.8835,4.8302,6.7318,4.3107,3.8186,2.0967,5.4328,3.5424,4.9876,7.6709,0.4954,13.1033,3.4908,9.4877,7.7278,17.9606,10.4871,8.3963,11.2959,7.7636,9.5886,3.4908,2.4611,10.1099,3.6871,3.3816,8.9127,11.682,0.4954,5.5256,7.3178,4.6537,4.9498,10.0576,6.5482,7.5904,10.1443,11.9789,8.0196,5.319,7.5149,6.457,9.1785,18.4354,8.5158,3.4372,8.6746,7.0588,12.2644,1.1564,5.3337,11.0167,5.1628,4.4524,6.5545,8.8992,9.5724,1.608,7.9615,0,7.1322,10.4801,8.0534,10.6401,6.002,11.889,3.9,9.3532,5.8047,5.8968,8.7466,5.7062,2.0967,6.8338,4.4252,7.55,9.38,0.8634,7.2765,6.1341,6.7593,1.9515,11.1031,10.7333,8.2271,8.0644,12.357,0,0.4954,13.1878,2.0967,6.8543,7.7499,12.348,12.8874,3.9,3.7323,7.2101,13.0702,6.0652,5.6127,10.2235,6.1999,2.3496,8.125,6.3523,12.3006,8.0688,3.3238,10.4432,6.634,6.0474,0,0.4954,4.1535,0,0,11.2696,1.1564,10.0731,7.0046,0,7.6996,2.3496,7.5965,2.5282,10.3647,8.8138,5.0424,7.0319,12.3368,0,10.7333,2.6612,4.3402,2.6612,8.4224,10.0938,0.4954,9.2502,4.0503,3.7323,8.4429,7.4555,0.4954,7.4521,5.3627,0,12.6404,0,6.7484,12.6007,7.7417,7.1819,7.7527,6.8746,8.1932,2.3496,5.9072,9.7681,5.7508,9.938,2.4611,6.3157,11.3016,5.4191,8.1079,2.0967,9.472,7.3723,4.2806,8.1036,4.7881,8.1397,4.8302,7.4953,8.7698,7.7444,0.8634,10.7344,1
6.1224,5.0417,7.4648,3.967,7.1956,13.1582,1.0459,0.3405,10.7447,7.0953,1.2208,1.6458,7.0525,13.9891,8.1426,2.5337,3.2505,2.9855,7.0612,10.542,9.5785,0,3.2322,11.2779,7.5161,3.8914,5.9715,9.9408,8.938,1.8932,5.8634,6.561,13.6055,11.6087,4.5292,0.6157,0,3.2505,2.7772,7.9005,6.3975,1.7636,3.1241,9.2304,6.3975,10.2311,6.9783,8.2193,9.4868,8.627,7.335,1.2208,10.2063,9.2966,11.2402,5.3919,8.8533,8.351,0.8468,0.6157,9.7268,3.967,4.2753,9.088,6.776,12.8045,9.462,1.5176,4.9822,4.8816,6.6893,4.842,8.5597,11.1307,7.8212,0.3405,11.5621,6.37,10.08,0.6157,5.0533,9.4879,4.3145,10.2394,7.926,6.8276,4.5621,4.0848,6.9721,8.8197,5.8766,8.1695,4.9943,8.7678,8.4288,9.6758,5.761,5.8436,8.3116,8.5257,7.0114,1.8724,11.481,10.1102,6.208,6.7004,7.8127,0,6.438,2.5986,1.3768,10.8338,6.6246,10.775,9.7993,8.7112,10.9176,3.4743,2.7201,12.8539,2.2407,7.7192,6.4987,7.4907,11.9031,7.9401,5.0988,6.9722,8.218,9.5414,8.0615,10.2723,8.7112,3.1674,10.7757,11.0668,9.2361,6.7689,11.1106,8.8983,7.064,1.7636,0,0,11.5407,0,0,13.4434,2.7201,8.2102,6.9319,0,7.3818,4.5621,9.2898,4.4066,12.1731,7.0025,1.2208,7.2496,11.6639,7.134,9.588,0,2.6606,0.3405,4.5458,7.7409,0.3405,7.4229,2.157,5.0182,10.0076,6.6246,0.3405,6.3792,4.6412,0,12.0281,0,8.0339,11.3855,7.0174,7.1877,8.9356,6.2738,8.6637,0.8468,8.2709,7.1771,2.8851,10.6284,0,5.0648,7.9756,4.8945,8.314,6.8807,8.0629,4.4436,4.5943,7.3377,6.963,7.0174,5.9776,7.1798,7.4692,9.0831,5.4457,5.0182,1
8.0808,0,10.988,4.4367,3.8033,5.9858,2.551,0.4906,4.1044,11.4258,7.356,3.1859,6.786,0,7.2448,7.2601,10.5926,2.6474,4.9901,5.6441,13.2326,3.7171,2.6557,10.6435,3.8847,7.0688,6.0665,9.8474,6.4204,2.1128,7.8706,6.6588,11.7932,0.856,4.1044,5.0619,2.9792,3.0514,6.3718,13.6709,0,5.2425,2.4476,12.7204,8.6112,11.1061,12.635,8.263,2.3363,9.4078,7.0565,2.8228,7.2176,0.4906,10.398,9.841,9.7825,7.7114,2.2157,4.5408,9.0004,4.0348,3.9987,10.8472,7.6074,5.5349,11.0562,2.8228,0.856,9.3663,8.9704,5.4304,6.2995,11.7599,8.0078,5.8607,9.5372,5.7779,9.1113,0,2.6474,13.09,4.6379,6.2995,11.9768,3.5772,2.6474,2.4476,8.1356,1.597,5.5599,3.0514,4.3534,4.265,8.1462,4.6142,2.0841,9.4949,7.0469,7.5555,6.786,1.7783,9.8069,6.653,4.9901,2.8228,6.2846,2.8228,5.4966,2.8228,1.597,0.856,11.2227,9.6441,9.5022,7.3737,12.5173,2.4476,11.3741,13.5396,12.0728,7.4525,9.8725,10.5056,7.7002,4.4897,1.9393,9.4227,6.77,0,0,9.5768,8.5026,9.0563,12.3915,4.9146,12.7091,7.1201,12.1237,10.3275,8.5579,7.4119,0,0,6.3505,0,1.1474,11.191,6.292,14.8873,13.9073,5.8302,8.8691,2.0841,5.9672,2.6086,10.9784,8.1524,0,8.3904,12.1957,8.2127,12.1801,2.3363,0.4906,0.4906,10.4574,7.7633,0.4906,7.9895,2.9031,13.4426,9.3502,6.5,1.7783,6.7099,5.4572,0,11.975,4.5155,5.6205,11.3825,8.0458,8.701,4.6142,8.8614,8.2611,13.0925,9.4968,5.6441,3.9987,9.3075,2.9792,5.8302,6.1917,5.7236,7.8993,1.3896,7.3666,5.5222,2.0841,5.3467,7.0065,6.0489,5.7347,5.7236,6.0041,3.309,3.8033,0.856,1
4.1,3.1574,5.7955,3.2527,7.3388,16.1921,1.3354,0,8.7214,4.4205,0.9367,0.9367,3.2527,2.5546,8.3123,3.3421,6.9799,0.9367,7.2051,9.4026,14.0899,1.1498,3.0553,15.0545,3.8788,4.021,5.9022,13.5832,8.8565,1.1596,9.0161,7.4809,11.6778,0,0.9367,0.6865,4.7164,0.3837,3.544,5.6099,2.1215,3.6175,0.6865,12.6107,6.9446,14.6432,11.5224,6.5108,3.7211,6.4467,2.8872,2.1215,0,0,0,6.0621,7.7536,9.0497,0.6865,1.6475,10.1803,4.0742,4.3789,9.6944,5.5826,2.7632,14.4331,4.3576,10.1412,8.1251,7.0109,7.0379,7.8615,13.6147,7.6237,0.9367,8.1852,8.7266,12.758,0,5.6009,1.1498,5.0964,5.2195,12.4244,11.0644,10.8117,1.7814,3.0014,0,6.1327,11.4946,8.4557,6.2119,2.1215,5.5066,5.0835,8.7078,6.6875,6.0555,7.4956,2.7632,1.4999,5.0573,0.6865,4.5575,7.5692,0,6.2237,1.9039,2.3106,2.2192,4.6124,5.7141,7.3113,7.5599,12.0051,0.9367,3.0014,15.4176,4.021,5.0835,8.7141,11.7595,13.9357,0.9367,1.7814,6.4467,9.0898,1.4999,1.7025,10.7321,8.0104,1.3354,5.4879,7.3683,14.5415,6.1698,7.8803,9.3896,9.1857,1.1498,0,0,5.517,0,0.3837,10.3234,1.3354,11.5298,11.7439,2.8872,6.5397,3.5812,5.2429,2.5717,10.9248,2.0168,6.3797,5.9598,10.0864,2.3106,8.2858,0.9367,1.4999,1.1498,5.6629,8.905,0,8.1807,2.0168,10.18,8.3825,6.9518,0,6.194,5.5642,0,12.604,0,5.0035,10.8551,8.3586,8.8336,7.8251,9.8459,7.3973,1.4999,2.8872,8.0172,3.4666,9.1903,2.3966,4.9898,8.433,4.9759,8.2588,2.3966,7.897,6.5108,6.3368,7.3603,3.0553,6.9764,2.8872,4.6826,7.9043,6.8257,11.6632,5.1344,0
6.0398,12.0274,7.5127,4.0357,7.3056,15.0357,3.2475,0,10.3466,9.4433,2.0657,0.6146,6.5123,12.3556,9.9118,1.3747,5.931,1.0441,7.4959,10.1816,10.1182,5.528,3.4004,12.1081,5.7577,6.7155,7.2861,11.778,3.5387,3.2595,8.9293,7.9875,12.809,10.8797,5.8928,0,0,3.4004,5.0149,9.0042,11.0862,9.5727,0,11.8119,7.8448,16.0802,8.7125,6.8073,7.2259,7.6714,10.8435,2.6578,7.0919,8.8779,9.8003,2.3919,7.5582,9.7316,0,2.3919,9.2987,5.4773,5.5769,8.855,6.8806,12.6849,11.7402,5.6851,12.5186,5.2545,7.8679,5.8536,8.4855,16.4534,8.4574,0.6146,11.3452,9.0655,11.7622,1.0441,6.0163,4.2114,6.6785,8.7785,11.6747,10.0699,6.5779,4.2522,7.5903,9.6671,6.3897,9.5391,10.3223,7.8972,7.3718,7.9601,5.7291,7.7974,9.5442,7.78,8.4855,4.0817,12.2594,10.0095,8.0321,6.6934,7.1738,0,7.4788,3.7241,3.4712,10.5813,9.5411,9.0868,9.6347,7.9446,11.2036,0,0.6146,13.425,2.6578,7.3718,5.8668,10.9688,13.7888,9.0755,4.7842,9.9945,12.507,8.4041,10.5838,10.1644,7.5253,5.4773,10.3809,10.7999,11.7476,7.4352,10.5189,9.4521,9.6802,3.5387,0,0,11.641,0,1.3747,10.273,5.3327,10.5737,9.4553,1.0441,7.7555,1.3747,7.6101,2.7114,11.9141,8.5625,3.8356,6.3433,12.2911,3.0764,10.3677,1.87,2.9826,3.0764,7.1307,10.2755,0,8.8925,2.8822,5.6398,9.684,6.4168,1.3747,6.9064,5.7,0,12.6423,1.0441,8.3488,13.6005,8.0408,6.8004,6.9566,8.6717,7.7122,7.2613,7.6022,9.4759,4.9667,10.0512,0,5.5113,9.5727,5.7,8.2364,3.9882,8.5806,7.5743,6.4168,8.1473,6.3433,7.1578,5.1067,5.9925,8.279,9.7804,5.8668,5.8403,1
4.0378,0,0,5.2387,7.7786,12.1015,0.4095,0.4095,9.2965,11.3887,1.57,0.4095,0,0.9888,8.1476,1.57,6.4263,0.7281,7.1543,9.6769,12.5306,5.2512,2.6181,4.9783,5.0227,3.2024,6.0583,8.545,7.6095,1.2339,10.673,0.7281,13.6504,0,1.2096,0.7281,0.4095,5.9087,2.6441,6.989,4.3245,2.5663,1.7213,12.419,6.4097,0,10.1231,6.7012,10.8907,6.5064,3.15,1.9308,0,5.3589,0.4095,8.1509,7.404,15.4336,0.7281,0,2.3968,3.0957,4.371,1.4011,6.2816,0,8.058,0,0,3.886,6.7894,4.8197,8.8105,1.4011,7.607,0,11.3245,5.008,1.7213,0,4.6414,1.4011,0.9888,11.6872,4.1752,9.9916,0,2.9804,2.0983,5.0227,7.1036,3.7865,6.3929,7.5997,2.304,0.7281,5.5326,6.6217,4.416,6.2067,6.0512,0.7281,2.3968,5.1212,1.9832,8.5538,8.0651,0,6.4097,2.9191,1.57,7.2507,1.2096,0.9888,6.7851,8.4067,11.1635,2.2048,3.7865,13.4788,3.6798,5.563,8.3969,5.8276,16.6177,0,1.57,6.5118,12.8913,0.4095,0,10.0791,7.5501,5.7767,10.8128,10.5242,12.1965,5.512,10.3237,8.4108,3.15,2.0983,0,0,12.0868,0,8.0366,10.3141,2.5663,2.4841,11.4406,4.3937,6.6973,1.57,4.5021,4.3824,11.6924,1.4011,4.3937,5.3704,11.1385,1.2096,8.663,0.4095,0,0.4095,0.7281,5.1208,0,7.8644,2.5663,10.2096,7.1036,7.5677,0,6.8316,2.6441,0,13.0845,0,0,10.1133,6.8645,8.4081,6.2321,3.4391,6.7722,1.9832,7.8606,7.972,3.0392,9.833,1.2096,5.3704,2.9804,5.6315,6.5014,0,8.1442,3.4391,9.4108,8.1223,3.8536,7.7414,2.7881,4.0087,8.8084,2.5663,2.9191,0,0
3.3444,0,0,1.6903,6.8954,9.0775,0.5801,0,9.3916,0.8011,0,0.319,1.7969,1.1618,6.312,7.7619,12.608,0.9927,5.7338,0.5801,9.5045,0.319,1.9718,11.6214,1.989,0.8011,3.1569,9.8344,0.5801,1.5919,5.6246,1.8962,1.989,0,0,0,0.5801,1.7969,1.3132,0.319,0.8011,1.6903,2.4475,4.5406,5.2242,4.8685,6.1605,5.4036,0.319,4.3955,5.575,2.7948,0.319,0,0,8.8496,5.4036,8.4743,3.1964,0,2.1586,2.0763,2.1586,0,4.8439,0.5801,4.5559,0,2.3103,0.5801,5.0192,3.6869,6.8247,6.4076,5.3077,0,0.319,0,1.6903,0,3.1964,8.1691,8.012,1.4502,2.7948,1.5752,10.2392,3.4462,1.9209,0.8011,6.4326,1.5752,3.413,8.967,0.5801,1.1855,4.0086,2.8942,1.3132,3.9405,6.1555,0,0.5801,2.3103,0,2.1586,8.8946,0.8011,4.9858,1.1618,2.5728,0,0,0,5.1756,6.9827,11.1053,0,0.5801,7.0623,5.3608,3.4785,3.3791,1.6903,7.8527,5.5781,0,3.7678,8.7319,0,0,10.1304,6.8404,4.4938,1.989,0.8011,7.8481,2.9415,2.3805,7.397,4.3611,4.6864,0,0,0,0,3.9405,10.7334,6.0889,1.1618,10.3101,0,5.751,0,3.1569,1.5314,10.5488,0.319,1.1457,10.8383,10.6556,0.5801,7.4853,1.8962,0.8011,0.8011,2.5115,5.5843,1.3132,5.9281,1.4502,5.1151,7.7635,4.9745,0,4.9516,12.8836,0.5801,12.9379,0,2.3103,7.231,6.257,7.7453,4.9971,0.9927,9.8677,0,0,10.4122,1.6903,8.812,0,2.5115,6.1353,2.9415,4.1155,0.9927,5.9164,0.9927,0,5.9514,3.0316,5.9572,7.3496,7.1199,5.1355,0.9927,1.8962,0.319,2
5.316,5.5807,6.262,4.429,9.3089,11.0229,1.3812,0,9.4872,13.8276,3.4528,1.5488,4.4503,7.0438,9.4988,1.699,10.4552,0.4016,5.8208,8.309,9.206,1.3812,2.5943,12.1132,7.9863,4.6844,8.9669,9.2538,6.7532,2.6291,7.5591,4.1962,13.9567,0.7154,4.0641,3.32,0.4016,4.3173,6.6874,8.9036,4.2213,1.1914,2.4577,13.2775,9.352,4.8858,9.5923,7.3033,8.4494,7.9299,6.9608,3.32,8.3564,12.9376,1.3812,5.6834,8.5367,12.54,0,2.6171,2.6907,6.1813,5.1948,2.4577,7.1356,12.5655,10.8816,0.973,5.2322,5.6283,8.9642,6.7097,8.3954,7.7974,8.9908,3.0673,10.3703,5.1169,9.666,1.1914,5.5215,10.8075,7.2311,8.9074,8.7962,9.3527,5.2925,5.417,6.0051,6.136,6.5704,8.0419,8.4226,8.0153,8.9237,6.5259,4.6105,9.6179,8.1518,6.0123,9.3905,6.1877,3.6865,8.4361,3.0673,6.651,9.2546,0.973,8.2554,5.2807,6.2499,11.0041,5.1433,9.2741,8.3564,8.1071,11.2393,0,5.1563,12.8998,10.5614,7.2945,7.8242,6.4538,13.7318,2.2784,1.699,8.8978,9.6308,8.0277,0.4016,10.414,9.1574,2.4577,15.5657,9.7956,10.4144,7.1617,11.9952,10.0865,5.0763,5.6376,0,0,10.7463,0,2.8912,8.6344,0,7.2373,11.0269,0.4016,8.4682,4.5525,6.5607,5.2807,12.1494,10.4499,5.829,7.3607,11.1601,3.3656,11.5513,0,1.5488,4.3173,5.3841,10.8744,6.389,9.4664,2.5396,13.1233,8.5504,8.2217,1.699,7.2915,4.9014,1.3812,11.8403,0.7154,3.0109,10.4784,8.08,7.3437,7.5726,7.5206,8.509,1.3812,11.5694,8.1935,6.0686,10.651,3.722,6.9039,5.5113,6.5158,8.8484,3.722,9.824,7.0368,10.2181,7.3914,10.6018,9.7799,5.5315,5.0203,8.2014,5.4491,6.8607,4.5125,1
3.9468,11.2513,7.8986,4.7048,9.7896,11.6336,1.1725,0,11.6449,14.0698,1.3604,0,3.0374,8.5423,10.7256,1.1725,9.8038,0.7022,6.7619,10.3703,8.8055,0,0.9564,16.9497,6.2701,5.2357,6.7744,9.4449,6.3719,2.9967,9.3634,5.0705,12.7999,5.6769,2.6621,0.9564,0,6.5271,3.8244,7.5961,9.5214,6.4823,1.1725,10.6044,7.2578,11.5864,6.0959,7.0345,9.1308,7.2489,12.0545,2.2515,7.4665,8.9191,5.2712,4.2138,8.0325,15.965,0.3934,3.504,5.8515,6.2285,4.2617,1.5265,6.6174,11.5746,10.4292,5.8118,9.8054,8.3657,7.4407,5.746,8.4765,13.8651,8.519,0,10.5145,4.8686,13.3276,0,5.416,3.8244,8.338,10.1483,8.5782,9.3778,3.3792,2.6621,5.416,7.868,6.9456,11.1979,5.057,9.7973,7.9081,10.678,5.5667,8.1114,9.0418,6.5562,8.3366,3.6907,10.7947,8.7509,2.5888,9.9884,7.4868,0,8.5386,3.0915,7.5843,10.1877,8.2367,11.801,8.1438,9.0648,12.3872,0.7022,1.5265,14.1265,1.8106,6.3388,7.8046,9.3826,17.1392,6.9159,2.3435,7.3632,14.3837,11.6016,6.8429,9.8575,8.4866,3.335,12.6555,12.0392,9.9265,6.399,7.9939,10.4325,6.1091,4.5968,0,0,11.4694,0,8.6052,9.9459,5.8038,8.4828,6.4974,0,8.3254,4.4597,7.3632,3.9735,13.0617,5.8902,5.3838,7.9452,11.8851,1.3604,10.8376,2.0479,2.9813,6.6357,10.2573,5.5182,0,9.5078,3.335,7.3355,8.029,7.936,0.3934,7.633,7.1409,0.3934,12.4378,0,3.422,11.6661,7.6261,6.7908,8.1098,6.2042,7.8834,2.1533,10.0055,8.2737,4.1642,10.2518,2.7318,6.0625,8.2766,5.7957,8.9487,4.6154,9.1039,4.5968,11.2907,7.2928,5.3398,8.7994,3.7921,6.4568,7.8267,9.9518,1.5265,5.1491,1
