"node1","node2"
"TFCP2","ZNF410"
"SLC38A11","SLC7A4"
"S1PR3","SPTLC3"
"S1PR3","SPHK1"
"RYR3","TRDN"
"SLC2A4RG","ZNF512B"
"RNF149","ZNF319"
"RNF149","ZNF805"
"RNF149","UBE2O"
"RGS16","RGS7BP"
"RBM12B","ZNF510"
"PYGO2","SRCAP"
"PPDPF","PTK6"
"PIGC","PIGY"
"OSBPL2","ZFPL1"
"STK11","YWHAB"
"NPHP3","PDE6D"
"PTPN13","RND2"
"MT1H","MT1M"
"MT1F","MT1M"
"MT1F","MT1H"
"SLC30A2","SLC39A13"
"SLC30A2","SLC39A5"
"MS4A13","SLC30A2"
"POU2AF1","SYK"
"MN1","MTBP"
"PEX11A","PEX12"
"MFF","PEX11A"
"MFF","STX17"
"OSR2","TBX22"
"OSR2","SIX2"
"MEOX2","TBX22"
"MEOX2","OSR2"
"KRTCAP2","TMEM43"
"LBR","VRK2"
"LBR","PMVK"
"KDELR3","SURF4"
"KCNC4","RPLP0"
"KCNC4","RPL22L1"
"KCNC4","RPL36AL"
"KCNC4","RPS11"
"KCNC4","RPL35"
"RPL22L1","RPLP0"
"RPL22L1","TEX10"
"RPL22L1","RPP38"
"RPL22L1","UBL7"
"RPL22L1","RPL36AL"
"RPL22L1","RPS11"
"RPL22L1","RPL35"
"RPL36AL","RPLP0"
"RPL36AL","RPP38"
"RPL36AL","TEX10"
"RPL36AL","UBL7"
"RPL36AL","RPS11"
"LCE3E","TGM1"
"KLHL28","RC3H2"
"IPP","KLHL28"
"INPP5K","SYNJ1"
"INPP5K","PLCG1"
"INPP5J","INPP5K"
"INPP5J","SYNJ1"
"INPP5J","PLCG1"
"INHBE","MIOX"
"TEX10","UTP15"
"IMMP1L","RNASEH2A"
"IL26","IL4"
"IL26","IRF5"
"IGSF9","VSIG2"
"LINGO1","PLP1"
"PPP3CC","YWHAB"
"PPP3CC","RCAN2"
"IGFBP6","PPP3CC"
"KMO","LBR"
"KMO","RETSAT"
"OSGEP","SLC4A1"
"OSGEP","SUPT7L"
"HOXC11","TBX6"
"HOXC11","SIX2"
"HOXD3","HOXD8"
"HOXD3","HOXD4"
"HOXD4","HOXD8"
"HOXB9","OTX2"
"HOXB9","HOXD3"
"HOXB9","HOXD4"
"HOXA7","HOXD4"
"HOXA7","HOXD8"
"HOXA7","HOXB9"
"HOXA11","HOXA7"
"HOXA11","SIX2"
"HOXA11","HOXD8"
"HOXA1","SPRY1"
"NOP16","RPLP0"
"HERC5","PPM1B"
"HERC5","NOP16"
"HERC5","PIGY"
"HERC5","PLCG1"
"RALGAPB","SLC25A5"
"HBG2","SLC4A1"
"HBG1","HBG2"
"HBG1","SLC4A1"
"HAUS8","ODF2"
"HAUS8","SNAP23"
"PRDM5","SLC39A13"
"GUCA1C","LRAT"
"SMARCAD1","SSRP1"
"GRB14","ITGB6"
"GRB14","NRAS"
"GOLGA1","RGP1"
"GLT8D1","SUPT7L"
"GLE1","NUP37"
"GLE1","SARNP"
"GPM6B","PLP1"
"GLDN","GPM6B"
"MSRB3","SLC26A4"
"MSRB3","RXFP2"
"PDCD4","SPRY1"
"PDCD4","RPS6KB1"
"RPL35","RPS11"
"RPL35","RPLP0"
"RPL35","RPL36AL"
"RPL35","RPP38"
"RPL35","TEX10"
"RPL35","UBL7"
"RPL35","SLC2A4RG"
"G3BP2","PPM1B"
"G3BP2","PDCD4"
"G3BP2","RPL35"
"GIPC3","SLC26A4"
"GIPC3","TMPRSS3"
"GIPC3","MSRB3"
"GIPC3","MARVELD2"
"HOXB13","HOXB9"
"HOXB13","TGM1"
"GORAB","ZFPL1"
"FCRL4","PIGR"
"SIRPB1","SYK"
"FAM24B","ZNF572"
"MED22","TAF6"
"MED22","SURF4"
"MED22","SURF1"
"MED22","PPM1B"
"ERLIN1","ZFYVE27"
"ERLIN1","GPT"
"EPS8L3","MUC13"
"ENPP5","RCAN2"
"FADS2","PLA2G12B"
"FADS2","OXSM"
"ELOVL3","FABP7"
"ELOVL3","FADS2"
"ELOVL3","FABP4"
"FAM98A","G3BP1"
"FAM98A","PLEKHM1"
"ELAVL4","KHSRP"
"ELAVL4","G3BP1"
"ELAVL4","SYT4"
"ELAVL4","FAM98A"
"ELAVL4","NEFM"
"RPP38","TBL3"
"RPP38","UTP15"
"RPP38","RPS11"
"RPP38","RRP9"
"RPL10","RPLP0"
"RPL10","RPP38"
"RPL10","UBL7"
"RPL10","TEX10"
"RPL10","RPL22L1"
"RPL10","RPL36AL"
"RPL10","TP53I13"
"RPL10","RPS11"
"RPL10","RPL35"
"EIF5","RPS11"
"EIF5","G3BP1"
"EIF5","RPP38"
"EIF5","RPL10"
"EIF1AD","RPS11"
"EHF","ELF3"
"EFNA1","MMP10"
"UCN","UCN3"
"EDA","EMP3"
"EDA","FOXI1"
"LRRC14","LRRC24"
"LRRC14","TBL3"
"E4F1","TBL3"
"E4F1","EDC4"
"E4F1","LRRC14"
"IGSF1","LINGO1"
"IGSF1","INHBA"
"DZIP3","IGSF1"
"DZIP3","SNAP23"
"NOXA1","RNASE1"
"DUOXA1","NOXA1"
"DUOXA1","SLC26A4"
"DUOXA1","REG1B"
"KRT16","KRT19"
"KRT16","KRT5"
"KRT16","NEFM"
"KRT16","TGM1"
"KRT16","KRT20"
"TGM1","ZNF214"
"DSC1","DSP"
"DSC1","IVL"
"DSC1","TGM1"
"SNX5","VPS26B"
"DLGAP3","GRM1"
"NUP37","SARNP"
"IMP4","TBL3"
"IMP4","UTP15"
"IMP4","RPS11"
"IMP4","RPP38"
"IMP4","NOP16"
"IMP4","RPLP0"
"IMP4","TEX10"
"IMP4","MPHOSPH10"
"IMP4","RRP9"
"MPHOSPH10","TBL3"
"MPHOSPH10","UTP15"
"MPHOSPH10","RPS11"
"MPHOSPH10","RPP38"
"MPHOSPH10","TEX10"
"MPHOSPH10","RRP9"
"ESF1","MPHOSPH10"
"ESF1","TBL3"
"ESF1","IMP4"
"ESF1","RRP9"
"ESF1","UTP15"
"ESF1","RPLP0"
"DHX34","GPATCH2"
"DHX34","TBL3"
"DHX34","ZNF646"
"DHX34","DHX38"
"DHX34","IMP4"
"DHX34","MPHOSPH10"
"DHX34","RRP9"
"DHX34","ESF1"
"DEFB132","DEFB134"
"GTF3C3","SMARCAD1"
"DEDD","GTF3C3"
"NAA10","RPL10"
"NAA10","RENBP"
"NAA10","NOXA1"
"NAA10","PFDN1"
"NAA10","RPL35"
"DDIT4L","NAA10"
"GTF2H3","MED22"
"GTF2H3","TAF6"
"GTF2H3","MMS19"
"GTF2H3","SSRP1"
"INO80E","TBX6"
"INO80E","SRCAP"
"PAF1","SSRP1"
"PAF1","SETD1A"
"PAF1","RBM10"
"IRX3","POSTN"
"IRX3","OTX2"
"IRX3","SIX2"
"DBX2","IRX3"
"MEX3C","ZNF646"
"DHRS12","OXSM"
