"node1","node2"
"A2M","TF"
"A2M","FGG"
"A2M","LRP2"
"A2M","PSEN2"
"A2M","ITIH2"
"A2M","PIGR"
"A2M","F3"
"A2M","F7"
"A2M","TMPRSS6"
"A2M","CD5L"
"A2M","SERPINA5"
"A2M","ADAMTS12"
"A2M","MT1E"
"A2M","MUC2"
"A2M","KLK11"
"A2M","GJB1"
"A2M","LRP1B"
"A2M","MMP1"
"A2M","C7"
"A2M","HPX"
"A2M","CP"
"A2M","MMP13"
"A2M","ORM1"
"A2M","CRP"
"A2M","PROC"
"A2M","LTF"
"A2M","IL4"
"A2M","PLAT"
"A2M","EEF1A2"
"A2ML1","KLK6"
"A2ML1","NCCRP1"
"A2ML1","DSC3"
"A2ML1","COL17A1"
"ABCA12","FLG"
"ABCA12","CASP14"
"ABCA12","ABCC11"
"ABCA12","IVL"
"ABCA12","ABCC8"
"ABCA12","CYP4F22"
"ABCC8","KCNJ16"
"ABCC8","KCNJ1"
"ABCC8","CHGB"
"ABCC8","SLC30A10"
"ABCC8","NEUROD1"
"ABCC8","KCNJ3"
"ABCC8","S100A1"
"ABCC8","HHEX"
"ABCC8","KCNJ2"
"ABCC8","CHGA"
"ACADL","ACOX1"
"ACADL","UCP1"
"ACADL","HMGCS2"
"ACADL","PCK1"
"ACADL","SCARB2"
"ACADL","CARTPT"
"ACADL","FABP4"
"ACADL","ENPP2"
"ACADL","HGD"
"ACADL","PLIN1"
"ACOX1","ADIPOQ"
"ACOX1","HMGCS2"
"ACOX1","PCK1"
"ACOX1","CARTPT"
"ACOX1","PLIN1"
"ACOX1","CIDEA"
"ACOX1","ELOVL2"
"ACOX1","GSTA1"
"ACOX1","SQLE"
"ACOX1","SCARB2"
"ACOX1","UCP1"
"ACOX1","CYP27A1"
"ACOX1","FABP4"
"ACTL8","MAGEA1"
"ACTL8","MYL1"
"ADAMTS12","TMC5"
"ADAMTS12","SCARB2"
"ADCY4","PDE1C"
"ADCY4","PRKCB"
"ADCY4","IGFBP7"
"ADH1B","ALDH1A3"
"ADH1B","GSTA1"
"ADH1B","GSTA4"
"ADH1B","MGST1"
"ADH1B","DLEC1"
"ADH1B","LDHC"
"ADH1B","C7"
"ADH1B","AKR1B10"
"ADH1B","PCK1"
"ADH1B","GPD1"
"ADH1B","GABRA6"
"ADH1B","FABP4"
"ADH1B","CYP26A1"
"ADH1B","DRD4"
"ADIPOQ","PLIN4"
"ADIPOQ","ESR1"
"ADIPOQ","AGTR1"
"ADIPOQ","ZNF423"
"ADIPOQ","NPY"
"ADIPOQ","TMEM26"
"ADIPOQ","AREG"
"ADIPOQ","LCN2"
"ADIPOQ","PTGS2"
"ADIPOQ","PYY"
"ADIPOQ","DLK1"
"ADIPOQ","ITLN1"
"ADIPOQ","CIDEA"
"ADIPOQ","PCK1"
"ADIPOQ","PLIN1"
"ADIPOQ","SFRP5"
"ADIPOQ","WNT2"
"ADIPOQ","SCARB2"
"ADIPOQ","CP"
"ADIPOQ","UCP1"
"ADIPOQ","FABP4"
"ADIPOQ","CRP"
"ADIPOQ","IL4"
"AEBP1","THBS2"
"AEBP1","COL11A1"
"AFAP1L1","CNTN6"
"AGBL2","FLG"
"AGBL2","PTPN22"
"AGBL2","CRP"
"AGR2","TFF3"
"AGR2","ESR1"
"AGR2","MUC5B"
"AGR2","MUC2"
"AGR2","MUC1"
"AGR2","DCD"
"AGR2","MUC16"
"AGR2","FOLR1"
"AGR2","WFDC2"
"AGR2","VTCN1"
"AGR2","AKR1B10"
"AGR2","AGR3"
