"node1","node2"
"SNCG","THY1"
"SLC10A6","TM4SF1"
"S100A16","S100A7"
"S100A16","S100A2"
"VWA3A","WDR38"
"RASSF6","RASSF7"
"RASSF6","RASSF9"
"PRAMEF12","RPS27"
"PRAMEF12","RPL10"
"PPDPF","PTK6"
"PIP5K1B","PLCG1"
"RASSF7","RASSF9"
"NPEPL1","PLCG1"
"NKRF","VIP"
"NDP","SOST"
"RPL10","RPS27"
"TBX18","TNNT2"
"TBX18","TSHZ3"
"MYL6","TNNT2"
"MYL6","RPS27"
"MYF5","SIX1"
"MYF5","MYOD1"
"MYF5","MYH8"
"MYF5","PAX1"
"MYF5","SIX6"
"MYH8","MYL6"
"MYH8","TNNT2"
"MYH8","MYOD1"
"MYH8","TNNC1"
"MYH8","MYL2"
"TNNC1","TNNT2"
"MYL2","TNNT2"
"MYL2","MYL6"
"MYL2","TNNC1"
"MYL2","MYOD1"
"MYL2","NPPA"
"MYL2","TBX18"
"SLC30A2","SLC39A5"
"MLANA","TYRP1"
"PPP1R1A","PPP3CC"
"PPP1R1A","ZPBP2"
"MAGEB2","SSX5"
"MAGEB2","PPP1R1A"
"LINGO1","PLP1"
"OBP2B","PTGDS"
"LCN15","OBP2B"
"LCN12","OBP2B"
"LCN12","LCN15"
"LCN10","LCN12"
"KRT27","LCE6A"
"KRT27","KRT73"
"KRT27","KRT31"
"KRT27","KRT32"
"KRT31","KRT32"
"KIF5A","PLP1"
"KIF5A","NPHP3"
"KIF12","KIF5A"
"KRT16","S100A7"
"KRT16","S100A2"
"KRT16","KRT27"
"KRT16","KRT5"
"KRT16","KRT31"
"KRT16","KRT32"
"KRT16","KRT20"
"ISX","LRAT"
"ISX","RBP2"
"INHBE","MIOX"
"RPS27","UBQLN3"
"NOL7","RPS27"
"SLPI","TNF"
"IKZF4","IL2RA"
"IGFBP6","KRT2"
"IGFBP6","PPP3CC"
"HOXC12","KRT32"
"HOXC11","HOXC12"
"HOXD10","HOXD8"
"SIX1","TBX18"
"MYOD1","SIX1"
"MYOD1","TNNT2"
"MYOD1","TNF"
"MYOD1","PAX1"
"HOXA11","HOXA4"
"HOXA11","HOXD8"
"HOXA11","HOXD10"
"HOXA11","PRSS1"
"HOXA11","SIX1"
"HOXA11","MYOD1"
"HOXA1","SPRY1"
"MS4A2","TCL1A"
"MS4A2","TCN1"
"MS4A2","TNFAIP6"
"HBG1","MAFG"
"LIME1","PIGR"
"GPR171","ITK"
"GPR171","VIP"
"GPR171","ICOS"
"GPR171","GZMA"
"GPR162","GPR171"
"GLRA4","PLP1"
"GLRA4","RIBC2"
"GLRA4","TCEAL1"
"PGRMC1","SLC25A5"
"GLCE","GLP1R"
"GKN2","TFF2"
"GJC3","KCNA2"
"GJC3","GJD2"
"HBB","TNF"
"HBB","RNASE1"
"HBB","MAFG"
"HBB","HBG1"
"HBB","HPX"
"HBB","ORM1"
"HBB","INHBA"
"GLRX","GPX2"
"GLRX","PRDX4"
"GLRX","MT1E"
"GLRX","HSPE1"
"PAX1","SIX1"
"FOXF1","FOXF2"
"FOXF1","PAX1"
"FOXF1","MIXL1"
"S100A2","S100A7"
"FGFBP1","S100A2"
"FGFBP1","KRT5"
"GYPB","HBB"
"GYPB","HBG1"
"GTSF1L","SPATS1"
"SPATS1","UBQLN3"
"RIBC2","VWA3A"
"FAM166B","RIBC2"
"FABP7","PLP1"
"ERLIN1","GPT"
"PTK6","SRMS"
"EREG","NRAS"
"EREG","PTK6"
"EREG","SPRY1"
"EREG","PTGER2"
"EREG","PLCG1"
"EREG","TNFAIP6"
"EREG","MT3"
"EPDR1","TSHB"
"ELAVL4","KCNA1"
"ELAVL4","SYT4"
"ELAVL2","ELAVL4"
"EHF","ELF3"
"EFNA1","MMP10"
"RNASEH2A","UBE2C"
"DUT","RNASEH2A"
"DUOXA2","REG3A"
"DUOXA2","REG1B"
"DUOXA2","TSHB"
"DUOXA2","SLC5A5"
"DUOXA1","DUOXA2"
"DUOXA1","REG1B"
"DUOXA1","SLC5A5"
